Rk,Gcar,Gtm,Date,Tm,home_away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,319,1,Apr 5,DET,@,MIA,W8-7,GS-6,,99,6.0,3,3,3,2,5,1,0,4.50,23,98,64,12,16,4,12,4,2,0,57,,,0,0,0,21,1,0,0,0,0,0,.61,0.057,-0.24,,,1b start a 1,6b 3 out a2
2,320,5,Apr 11,DET,,PIT,L4-7,GS-5,L(0-1),5,4.3333333333,10,7,7,2,2,0,0,8.71,23,111,71,21,5,8,11,4,2,0,15,,,0,2,0,18,5,0,0,0,2,0,.89,-0.318,-3.66,,,1t start tie,5t 1-3 1 out d4
3,321,10,Apr 16,DET,@,HOU,W5-3,GS-6,W(1-1),4,6.0,7,3,3,2,8,2,0,7.16,25,106,65,19,12,7,8,3,2,0,52,,,1,0,1,23,0,0,0,1,0,0,.82,-0.011,-0.13,,,1b start tie,6b 3 out a1
4,322,15,Apr 22,DET,,CLE,L1-2,GS-7,L(1-2),5,7.0,4,2,2,2,10,2,0,5.79,27,118,73,23,11,5,10,2,3,0,69,,,0,0,0,25,1,0,0,0,0,0,.84,0.063,1.56,,,1t start tie,7t 3 out d1
5,323,20,Apr 27,DET,,OAK,W9-4,GS-7,W(2-2),4,6.3333333333,5,3,3,2,6,1,0,5.46,26,102,59,20,8,5,13,2,4,0,55,,,0,0,0,24,2,0,0,0,0,0,.73,0.164,0.36,,,1t start tie,7t 1-3 1 out a6
6,324,25,May 3,DET,@,CLE,L3-7,GS-5,L(2-3),5,5.0,8,7,7,3,2,1,0,6.49,25,97,61,17,4,8,12,9,0,0,22,,,0,0,0,22,2,0,0,1,0,0,.61,-0.348,-4.23,,,1b start tie,5b 3 out d5
7,325,30,May 8,DET,,TEX,L3-8,GS-7,,4,7.0,3,0,0,2,9,0,1,5.40,27,111,71,20,20,7,8,3,3,0,78,,,1,0,0,24,0,0,0,0,0,1,1.10,0.409,3.56,,,1t start tie,7t 3 out a2
8,326,35,May 13,DET,@,BAL,L0-1,CG(8),L(2-4),4,8.0,4,1,1,2,8,1,1,4.71,29,112,75,18,14,9,9,4,1,0,76,,,0,1,0,26,0,0,0,1,0,0,.91,0.246,3.14,,,1b start tie,8b 3 out d1
9,327,40,May 18,DET,,MIN,W6-3,GS-8,W(3-4),4,7.3333333333,6,3,3,3,10,0,0,4.58,31,112,76,18,20,6,12,2,5,0,61,,,1,0,0,27,1,0,0,0,1,0,.81,0.259,2.14,,,1t start tie,8t 12- 1 out a5
10,328,45,May 24,DET,,PHI,W3-1,GS-8,W(4-4),5,8.0,3,0,0,2,10,0,0,4.02,28,108,74,14,20,4,12,8,3,0,84,,,0,0,0,26,1,0,0,1,0,0,.96,0.461,4.06,,,1t start tie,8t 3 out a3
